date,id,deptime,arrtime,price,direction
2023-08-26,0,06:20,07:20,44100,go
2023-08-26,0,06:20,07:20,98700,go
2023-08-26,1,07:00,08:05,70700,go
2023-08-26,1,07:00,08:05,100700,go
2023-08-26,2,07:20,08:25,79000,go
2023-08-26,5,07:20,08:25,90700,go
2023-08-26,2,07:20,08:25,90700,go
2023-08-26,1,08:05,09:10,92700,go
2023-08-26,1,08:05,09:10,100700,go
2023-08-26,3,08:30,09:30,95700,go
2023-08-26,3,08:30,09:30,98100,go
2023-08-26,2,08:40,09:40,82120,go
2023-08-26,5,08:40,09:40,90700,go
2023-08-26,2,08:40,09:40,90700,go
2023-08-26,1,09:00,10:05,83700,go
2023-08-26,1,09:00,10:05,100700,go
2023-08-26,2,09:40,10:40,79780,go
2023-08-26,5,09:40,10:40,90700,go
2023-08-26,2,09:40,10:40,90700,go
2023-08-26,1,10:25,11:30,92700,go
2023-08-26,1,10:25,11:30,100700,go
2023-08-26,2,11:00,12:00,86020,go
2023-08-26,5,11:00,12:00,90700,go
2023-08-26,2,11:00,12:00,90700,go
2023-08-26,3,11:40,12:40,95700,go
2023-08-26,3,11:40,12:40,98100,go
2023-08-26,2,12:00,13:05,83680,go
2023-08-26,5,12:00,13:05,90700,go
2023-08-26,2,12:00,13:05,90700,go
2023-08-26,1,12:25,13:30,83700,go
2023-08-26,1,12:25,13:30,100700,go
2023-08-26,2,12:50,13:50,83680,go
2023-08-26,5,12:50,13:50,90700,go
2023-08-26,2,12:50,13:50,90700,go
2023-08-26,1,14:00,15:05,92700,go
2023-08-26,1,14:00,15:05,100700,go
2023-08-26,2,14:20,15:25,86020,go
2023-08-26,5,14:20,15:25,90700,go
2023-08-26,2,14:20,15:25,90700,go
2023-08-26,3,14:50,15:50,95700,go
2023-08-26,3,14:50,15:50,98100,go
2023-08-26,2,15:40,16:40,70420,go
2023-08-26,5,15:40,16:40,90700,go
2023-08-26,2,15:40,16:40,90700,go
2023-08-26,1,16:00,17:05,74700,go
2023-08-26,1,16:00,17:05,100700,go
2023-08-26,2,16:40,17:40,71980,go
2023-08-26,5,16:40,17:40,90700,go
2023-08-26,2,16:40,17:40,90700,go
2023-08-26,1,17:20,18:25,74700,go
2023-08-26,1,17:20,18:25,100700,go
2023-08-26,3,18:20,19:20,95700,go
2023-08-26,3,18:20,19:20,98100,go
2023-08-26,2,19:00,20:00,54040,go
2023-08-26,5,19:00,20:00,90700,go
2023-08-26,2,19:00,20:00,90700,go
2023-08-26,1,19:25,20:35,61700,go
2023-08-26,1,19:25,20:35,65700,go
2023-08-26,1,19:25,20:35,100700,go
2023-08-26,4,19:40,20:40,49700,go
2023-08-26,4,19:40,20:40,90700,go
2023-08-26,0,19:45,20:45,52600,go
2023-08-26,0,19:45,20:45,98700,go
2023-08-26,4,20:05,21:05,52600,go
2023-08-26,4,20:05,21:05,90700,go
2023-08-26,2,20:20,21:35,50920,go
2023-08-26,5,20:20,21:35,90700,go
2023-08-26,2,20:20,21:35,90700,go
2023-08-27,0,06:20,07:20,44100,go
2023-08-27,0,06:20,07:20,90700,go
2023-08-27,1,07:00,08:05,52700,go
2023-08-27,1,07:00,08:05,65700,go
2023-08-27,1,07:00,08:05,100700,go
2023-08-27,2,07:20,08:25,49360,go
2023-08-27,2,07:20,08:25,90700,go
2023-08-27,5,07:20,08:25,90700,go
2023-08-27,1,08:05,09:10,83700,go
2023-08-27,1,08:05,09:10,100700,go
2023-08-27,3,08:30,09:30,87700,go
2023-08-27,3,08:30,09:30,90100,go
2023-08-27,2,08:40,09:40,82120,go
2023-08-27,2,08:40,09:40,90700,go
2023-08-27,5,08:40,09:40,90700,go
2023-08-27,1,09:00,10:05,83700,go
2023-08-27,1,09:00,10:05,100700,go
2023-08-27,2,09:40,10:40,83680,go
2023-08-27,2,09:40,10:40,90700,go
2023-08-27,5,09:40,10:40,90700,go
2023-08-27,1,10:25,11:30,92700,go
2023-08-27,1,10:25,11:30,100700,go
2023-08-27,2,11:00,12:00,82120,go
2023-08-27,2,11:00,12:00,90700,go
2023-08-27,5,11:00,12:00,90700,go
2023-08-27,3,11:40,12:40,87700,go
2023-08-27,3,11:40,12:40,90100,go
2023-08-27,2,12:00,13:05,82120,go
2023-08-27,2,12:00,13:05,90700,go
2023-08-27,5,12:00,13:05,90700,go
2023-08-27,1,12:25,13:30,83700,go
2023-08-27,1,12:25,13:30,100700,go
2023-08-27,2,12:50,13:50,77440,go
2023-08-27,2,12:50,13:50,90700,go
2023-08-27,5,12:50,13:50,90700,go
2023-08-27,1,14:00,15:05,92700,go
2023-08-27,1,14:00,15:05,100700,go
2023-08-27,2,14:20,15:25,84080,go
2023-08-27,5,14:20,15:25,90700,go
