date,name,saled_price,capacity,type
2023-08-14,INTERACTIVE K5,127200,4,하이브리드
2023-08-14,EV6 2WD,145200,4,전기차
2023-08-14,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-14,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-14,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-14,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-14,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-14,스타리아,182400,1,디젤
2023-08-14,더 뉴 카니발,196200,9,디젤
2023-08-14,카니발 KA4,196200,9,디젤
2023-08-14,EV6 4WD,198000,4,전기차
2023-08-14,K8 2.5,207000,4,가솔린
2023-08-14,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-14,팰리세이드 2WD,224400,7,디젤
2023-08-14,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-14,All New G80 2.5,289800,4,가솔린
2023-08-14,GV80 4WD,327000,5,디젤
2023-08-14,G90 3.8,348000,4,가솔린
2023-08-14,ALL NEW K3,72600,4,가솔린
2023-08-14,아반떼 AD ,79800,4,가솔린
2023-08-14,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-14,니로,98100,4,전기차
2023-08-14,쏘렌토 MQ4,178200,5,하이브리드
2023-08-15,캐스퍼,85800,4,가솔린
2023-08-15,더 뉴 K3,86450,4,가솔린
2023-08-15,올 뉴 아반떼,86450,4,가솔린
2023-08-15,INTERACTIVE K5,133900,4,가솔린
2023-08-15,볼트,72100,4,전기차
2023-08-15,쏘나타 DN8,133900,4,가솔린
2023-08-15,INTERACTIVE K5,137800,4,하이브리드
2023-08-15,EV6 2WD,157300,4,전기차
2023-08-15,스포티지 NQ5 2WD,171600,4,하이브리드
2023-08-15,스포티지 NQ5 2WD 1.6T,171600,4,가솔린
2023-08-15,더 뉴 그랜드 스타렉스,172900,1,디젤
2023-08-15,더 뉴 그랜드 스타렉스,188500,9,디젤
2023-08-15,더 뉴 싼타페 2WD,193050,5,디젤
2023-08-15,스타리아,197600,1,디젤
2023-08-15,더 뉴 카니발,212550,9,디젤
2023-08-15,카니발 KA4,212550,9,디젤
2023-08-15,EV6 4WD,214500,4,전기차
2023-08-15,K8 2.5,224250,4,가솔린
2023-08-15,더 뉴 그랜저 2.4,235950,4,하이브리드
2023-08-15,팰리세이드 2WD,243100,7,디젤
2023-08-15,더 뉴 그랜저 3.3,243750,4,가솔린
2023-08-15,All New G80 2.5,313950,4,가솔린
2023-08-15,GV80 4WD,354250,5,디젤
2023-08-15,G90 3.8,377000,4,가솔린
2023-08-15,ALL NEW K3,78650,4,가솔린
2023-08-15,아반떼 AD ,86450,4,가솔린
2023-08-15,THE ALL NEW NIRO,141700,4,하이브리드
2023-08-15,니로,98100,4,전기차
2023-08-15,쏘렌토 MQ4,193050,5,하이브리드
2023-08-16,캐스퍼,75600,4,가솔린
2023-08-16,더 뉴 K3,76200,4,가솔린
2023-08-16,올 뉴 아반떼,76200,4,가솔린
2023-08-16,INTERACTIVE K5,117600,4,가솔린
2023-08-16,볼트,68600,4,전기차
2023-08-16,쏘나타 DN8,117600,4,가솔린
2023-08-16,INTERACTIVE K5,121800,4,하이브리드
2023-08-16,EV6 2WD,138600,4,전기차
2023-08-16,스포티지 NQ5 2WD,151200,4,하이브리드
2023-08-16,스포티지 NQ5 2WD 1.6T,151200,4,가솔린
2023-08-16,더 뉴 그랜드 스타렉스,152400,1,디젤
2023-08-16,더 뉴 그랜드 스타렉스,166200,9,디젤
2023-08-16,더 뉴 싼타페 2WD,170400,5,디젤
2023-08-16,쏘렌토 MQ4,170400,5,하이브리드
2023-08-16,스타리아,174000,1,디젤
2023-08-16,더 뉴 카니발,187200,9,디젤
2023-08-16,카니발 KA4,187200,9,디젤
2023-08-16,EV6 4WD,189000,4,전기차
2023-08-16,K8 2.5,198000,4,가솔린
2023-08-16,더 뉴 그랜저 2.4,208200,4,하이브리드
2023-08-16,더 뉴 그랜저 3.3,214800,4,가솔린
2023-08-16,팰리세이드 2WD,224400,7,디젤
2023-08-16,All New G80 2.5,276600,4,가솔린
2023-08-16,G90 3.8,331800,4,가솔린
2023-08-16,ALL NEW K3,72600,4,가솔린
2023-08-16,아반떼 AD ,76200,4,가솔린
2023-08-16,THE ALL NEW NIRO,124800,4,하이브리드
2023-08-16,니로,93600,4,전기차
2023-08-16,GV80 4WD,312000,5,디젤
2023-08-17,캐스퍼,75600,4,가솔린
2023-08-17,더 뉴 K3,76200,4,가솔린
2023-08-17,아반떼 AD ,76200,4,가솔린
2023-08-17,올 뉴 아반떼,76200,4,가솔린
2023-08-17,INTERACTIVE K5,117600,4,가솔린
2023-08-17,볼트,68600,4,전기차
2023-08-17,쏘나타 DN8,117600,4,가솔린
2023-08-17,INTERACTIVE K5,121800,4,하이브리드
2023-08-17,EV6 2WD,138600,4,전기차
2023-08-17,스포티지 NQ5 2WD,151200,4,하이브리드
2023-08-17,스포티지 NQ5 2WD 1.6T,151200,4,가솔린
2023-08-17,더 뉴 그랜드 스타렉스,152400,1,디젤
